source_row,username,name,ig_handle,ig_url,original_category,original_industry,original_message_cleaned,message_english,age,years_of_experience_skills,skills_detailed,skill_category,source_skill_field,source_experience_field,scraped_at
77,irfanbadag,irfanbadag,@irfanbadag,https://www.instagram.com/irfanbadag/,Agency,Teknologi,"Hi there! 👋 I’m Irpan Nurhakim, a 21-year-old passionate creator and hard worker from Cianjur, Indonesia. I bring a unique mix of technical precision, high discipline, and creative artistry to the table. Here is a quick snapshot of what I can do: Core Skills Hardware & Board-Le","Hi there! 👋 I’m Irpan Nurhakim, a 21-year-old passionate creator and hard worker from Cianjur, Indonesia. I bring a unique mix of technical precision, high discipline, and creative artistry to the table. Here is a quick snapshot of what I can do: Core Skills Hardware & Board-Le",Not mentioned,Not mentioned,3d,3D / Animation,3d,Tidak disebutkan,46190.43724820602
220,indrmrs,Hello! I’m Indra,@indrmrs,https://www.instagram.com/indrmrs/,Designer,Desain & Kreatif,"Hello! I’m Indra, a professional jewelry designer with 10 years of experience. I specialize in creating jewelry concepts and turning them into detailed 3D designs. 🙌✨","Hello! I’m Indra, a professional jewelry designer with 10 years of experience. I specialize in creating jewelry concepts and turning them into detailed 3D designs. 🙌✨",Not mentioned,10 years,3d,3D / Animation,3d,10+ tahun,46190.43792491898
285,afinanto,Hi,@afinanto,https://www.instagram.com/afinanto/,Designer,Teknologi,"Hi, I’m Afin! I’m a technology leader with experience spanning two domains: 3D Construction Printing (3DCP) and digital product development. On the construction side, I led Indonesia’s first 3D-printed house, built industrial printing machinery, and secured patents for proprietary hardware and mater","Hi, I’m Afin! I’m a technology leader with experience spanning two domains: 3D Construction Printing (3DCP) and digital product development. On the construction side, I led Indonesia’s first 3D-printed house, built industrial printing machinery, and secured patents for proprietary hardware and mater",Not mentioned,Not mentioned,3d,3D / Animation,3d,Tidak disebutkan,46190.43810586805
519,ardi_beye,Joining the #IndonesiaUnderpriced trend,@ardi_beye,https://www.instagram.com/ardi_beye/,Freelancer,Desain & Kreatif,"Joining the #IndonesiaUnderpriced trend, I want to highly recommend @irahalwahf , a design graduate who is currently focusing on being an animator. Their animation skills are exceptionally clean and absolutely ready to compete globally. Thanks to a strong design background, they have a great visual","Joining the #IndonesiaUnderpriced trend, I want to highly recommend @irahalwahf , a design graduate who is currently focusing on being an animator. Their animation skills are exceptionally clean and absolutely ready to compete globally. Thanks to a strong design background, they have a great visual",Not mentioned,Not mentioned,"animation, animator",3D / Animation,Tidak terdeteksi,Tidak disebutkan,46190.43828753472
605,bagoesbs182,bagoesbs182 bagoesbs182 Hello,@bagoesbs182,https://www.instagram.com/bagoesbs182/,Lainnya,Teknologi,"Hello, i’m Bagus and being a professional 3d artist since 2019 Now im doing 3d generalist, creating 3d assets(modelling and texture), little bit animations, and little bit skill on game engine like unity and unreal. DM me if you want to see my work(i cant share it publicly be","Hello, i’m Bagus and being a professional 3d artist since 2019 Now im doing 3d generalist, creating 3d assets(modelling and texture), little bit animations, and little bit skill on game engine like unity and unreal. DM me if you want to see my work(i cant share it publicly be",Not mentioned,Not mentioned,3d,3D / Animation,3d,Tidak disebutkan,46190.43828758102
598,wahyu.indraman,wahyu.indraman,@wahyu.indraman,https://www.instagram.com/wahyu.indraman/,Startup,Desain & Kreatif,"I’ve been working on Miniatur Cloud — a platform that turns real-world map locations into printable 3D miniature cities. The idea is to combine interactive 3D maps, AI-generated buildings, digital twin traffic simulation, CCTV/computer vision data, social sharing, ratin","I’ve been working on Miniatur Cloud — a platform that turns real-world map locations into printable 3D miniature cities. The idea is to combine interactive 3D maps, AI-generated buildings, digital twin traffic simulation, CCTV/computer vision data, social sharing, ratin",Not mentioned,Not mentioned,"3d, ai","3D / Animation, AI / Data Science",3d,Tidak disebutkan,46190.43828758102
18,nizarudinyusril,nizarudinyusril,@nizarudinyusril,https://www.instagram.com/nizarudinyusril/,Agency,Teknologi,"Hi! I'm Yusril Lana, Founder of @studiolentera_ , an architecture studio based in Indonesia 🇮🇩. We help homeowners, developers, and businesses create spaces that are not only visually appealing, but also functional, adaptive, and sustainable for the future. . . ✨ Ex","Hi! I'm Yusril Lana, Founder of @studiolentera_ , an architecture studio based in Indonesia 🇮🇩. We help homeowners, developers, and businesses create spaces that are not only visually appealing, but also functional, adaptive, and sustainable for the future. . . ✨ Ex",Not mentioned,Not mentioned,"3d, architecture","3D / Animation, Architecture / Interior",3d,Tidak disebutkan,46190.43708004629
521,zy3d_visual,zy3d_visual,@zy3d_visual,https://www.instagram.com/zy3d_visual/,Designer,Desain & Kreatif,"I’m a 3D Architectural Visualization Artist specializing in high-end, photorealistic rendering. I help architects and interior designers turn their design concepts into premium visuals that perfectly capture the intended mood and details.","I’m a 3D Architectural Visualization Artist specializing in high-end, photorealistic rendering. I help architects and interior designers turn their design concepts into premium visuals that perfectly capture the intended mood and details.",Not mentioned,Not mentioned,"3d, interior","3D / Animation, Architecture / Interior",3d,Tidak disebutkan,46190.43828753472
210,markeugal,Hello! I'm Galuh Lutfia,@markeugal,https://www.instagram.com/markeugal/,Agency,Teknologi,"Hello! I'm Galuh Lutfia, a Building Construction Engineering graduate from Politeknik Negeri Jakarta and the founder of GeeF Studio. I am passionate about residential design, architecture, and creative digital products. My background in construction engineering allows me to create designs that are n","Hello! I'm Galuh Lutfia, a Building Construction Engineering graduate from Politeknik Negeri Jakarta and the founder of GeeF Studio. I am passionate about residential design, architecture, and creative digital products. My background in construction engineering allows me to create designs that are n",Not mentioned,Not mentioned,"3d, architecture, engineering","3D / Animation, Architecture / Interior, Engineering",3d,Tidak disebutkan,46190.43789898148
158,ferdzvyy,Hello,@ferdzvyy,https://www.instagram.com/ferdzvyy/,Developer,Teknologi,"Hello, my name is Muhammad Ferdiansyah. I am a 10th-grade vocational high school student currently learning and developing skills in civil engineering and architecture. I have basic skills in AutoCAD 2D, SketchUp 3D, and technical drawing. I am eager to learn, able to work in a team, and motivated t","Hello, my name is Muhammad Ferdiansyah. I am a 10th-grade vocational high school student currently learning and developing skills in civil engineering and architecture. I have basic skills in AutoCAD 2D, SketchUp 3D, and technical drawing. I am eager to learn, able to work in a team, and motivated t",Not mentioned,10+ years,"3d, architecture, engineering, drawing","3D / Animation, Architecture / Interior, Engineering, Creative & Design",3d,10+ tahun,46190.43770277778
450,clintonsanto,clintonsanto clintonsanto Clinton,@clintonsanto,https://www.instagram.com/clintonsanto/,Freelancer,Teknologi,"Clinton, 33. Content Creator | Game Designer | Gaming Polymath [LFG] LF small team with like-minded people who are passionate about gaming beyond just playing—game design, systems, progression, monetization, industry trends, and what makes games succeed or fail. Interested","Clinton, 33. Content Creator | Game Designer | Gaming Polymath [LFG] LF small team with like-minded people who are passionate about gaming beyond just playing—game design, systems, progression, monetization, industry trends, and what makes games succeed or fail. Interested",Not mentioned,Not mentioned,"3d, content creator","3D / Animation, Content Creation",3d,Tidak disebutkan,46190.4382875
463,bagus_jaler,bagus_jaler bagus_jaler Hello my name is Bagus,@bagus_jaler,https://www.instagram.com/bagus_jaler/,Designer,Teknologi,"Hello my name is Bagus, iam a engineer, with engineering design skill, I can use 2d cad and 3d cad (AutoCAD, Solidwork) if any of u have a idea, I can design it for u, so please contact me on DM","Hello my name is Bagus, iam a engineer, with engineering design skill, I can use 2d cad and 3d cad (AutoCAD, Solidwork) if any of u have a idea, I can design it for u, so please contact me on DM",Not mentioned,Not mentioned,"3d, engineering, engineer","3D / Animation, Engineering",3d,Tidak disebutkan,46190.43828751158
593,kikitsch__,Hi everyone,@kikitsch__,https://www.instagram.com/kikitsch__/,Agency,Desain & Kreatif,"Hi everyone, if you’re planning a building project or need help with construction design, my husband holds a Bachelor's Degree in Civil Engineering with 11 years of experience and offers services in AutoCAD drafting, 3D SketchUp, RAB/RAP estimation, and ETABS/SAP 2000 structural analysis—please feel","Hi everyone, if you’re planning a building project or need help with construction design, my husband holds a Bachelor's Degree in Civil Engineering with 11 years of experience and offers services in AutoCAD drafting, 3D SketchUp, RAB/RAP estimation, and ETABS/SAP 2000 structural analysis—please feel",Not mentioned,11 years,"3d, engineering","3D / Animation, Engineering",3d,11+ tahun,46190.43828758102
